gene,condition,aging_coef_rank,is_known_aging_reg
ATG3,Stim48hr,0.9245133094954312,False
ATG3,Stim8hr,0.8955447397978286,False
ATG9A,Rest,0.6571657968687274,False
ATG9A,Stim48hr,0.7902264600715138,False
ATG9A,Stim8hr,0.2047922126544365,False
ATG9B,Rest,0.0875150541951023,False
ATIC,Rest,0.4620634283420313,False
ATIC,Stim8hr,0.9004118307749907,False
ATL1,Rest,0.2942593336009634,False
ATL1,Stim8hr,0.6491950580307001,False
ATL2,Stim48hr,0.7890345649582837,False
ATL2,Stim8hr,0.7023586671658555,False
ATM,Rest,0.943797671617824,False
ATM,Stim48hr,0.9932459276916964,False
ATM,Stim8hr,0.9120179707974542,False
ATOX1,Stim48hr,0.745331744139849,False
ATP11B,Rest,0.786029706945002,False
ATP11B,Stim48hr,0.9411998410806516,False
ATP13A3,Stim48hr,0.9141835518474374,False
ATP13A3,Stim8hr,0.5196555597154624,False
ATP1B3,Rest,0.9004415897230028,False
ATP1B3,Stim48hr,0.7278506158124751,False
ATP1B3,Stim8hr,0.6660426806439536,False
ATP23,Rest,0.3934162986752308,False
ATP23,Stim48hr,0.3961064759634485,False
ATP23,Stim8hr,0.4354174466491951,False
ATP2A2,Rest,0.2484945804897631,False
ATP2A2,Stim48hr,0.6583234008740564,False
ATP2A2,Stim8hr,0.0258330213403219,False
ATP2A3,Stim8hr,0.4634968176712841,False
ATP2B1,Rest,0.8932155760738659,False
ATP2B1,Stim48hr,0.3480333730631704,False
ATP2B1,Stim8hr,0.5469861475102957,False
ATP5F1A,Rest,0.6266559614612606,False
ATP5F1A,Stim48hr,0.7401668653158522,False
ATP5F1A,Stim8hr,0.8876825159116436,False
ATP5F1B,Rest,0.6635889201124047,False
ATP5F1B,Stim48hr,0.7393722685736989,False
ATP5F1B,Stim8hr,0.1040808685885436,False
ATP5F1C,Stim8hr,0.6780232122800449,False
ATP5F1D,Rest,0.7053392211963067,False
ATP5F1E,Rest,0.7478924126856684,False
ATP5F1E,Stim48hr,0.8382995629717919,False
ATP5MC1,Rest,0.2460859092733842,False
ATP5MC1,Stim8hr,0.8543616622987645,False
ATP5MC3,Rest,0.67442794058611,False
ATP5ME,Rest,0.95343235648334,False
ATP5ME,Stim48hr,0.7651966626936829,False
ATP5ME,Stim8hr,0.8521153126169974,False
ATP5MF,Rest,0.7775993576876756,False
ATP5MF,Stim48hr,0.7099721891140246,False
ATP5MF,Stim8hr,0.7274429052789217,False
ATP5MF-PTCD1,Rest,0.3155359293456443,False
ATP5MF-PTCD1,Stim48hr,0.5248311481922924,False
ATP5MF-PTCD1,Stim8hr,0.4777236989891426,False
ATP5MG,Rest,0.2918506623845845,False
ATP5PD,Rest,0.5142513046969088,False
ATP5PD,Stim48hr,0.7473182359952324,False
ATP5PD,Stim8hr,0.3294646199925121,False
ATP5PF,Stim48hr,0.6483909415971395,False
ATP5PF,Stim8hr,0.7884687383002621,False
ATP5PO,Rest,0.5295062224006423,False
ATP5PO,Stim48hr,0.4878823996821613,False
ATP5PO,Stim8hr,0.5716959940097341,False
ATP6AP2,Stim48hr,0.8800158919348431,False
ATP6V0A2,Stim8hr,0.984649943841258,False
ATP6V0E1,Stim8hr,0.814301759640584,False
ATP6V1E1,Rest,0.925331192292252,False
ATP6V1E2,Rest,0.8065034122842232,False
ATP6V1E2,Stim48hr,0.9944378228049264,False
ATP6V1E2,Stim8hr,0.9243728940471734,False
ATP7A,Stim48hr,0.9280889948351212,False
ATP8B1,Rest,0.0513849859494179,False
ATP8B1,Stim48hr,0.1946762018275725,False
ATP8B1,Stim8hr,0.1579932609509547,False
ATPAF2,Rest,0.18586912886391,False
ATPAF2,Stim48hr,0.6734207389749702,False
ATRX,Rest,0.0168606985146527,False
ATRX,Stim48hr,0.7922129519268971,False
ATRX,Stim8hr,0.5589666791463871,False
ATXN10,Rest,0.9494179044560418,False
ATXN10,Stim8hr,0.1085735679520778,False
ATXN1L,Rest,0.4640706543556804,False
ATXN2L,Rest,0.0060216780409474,False
ATXN2L,Stim48hr,0.1072705601907032,False
ATXN2L,Stim8hr,0.0610258330213403,False
ATXN7L3,Rest,0.416298675230831,False
ATXN7L3,Stim48hr,0.8732618196265395,False
ATXN7L3,Stim8hr,0.938225383751404,False
AUNIP,Rest,0.155760738659173,False
AUP1,Rest,0.0100361300682456,False
AUP1,Stim48hr,0.6599125943583631,False
AUP1,Stim8hr,0.3186072631973043,False
AUTS2,Rest,0.141710156563629,False
AUTS2,Stim8hr,0.3448146761512542,False
AVEN,Stim8hr,0.5975290153500562,False
AVL9,Stim48hr,0.5407230830353595,False
AVPR2,Rest,0.3596949016459253,False
AXIN1,Stim48hr,0.4723877632101708,False
AZI2,Rest,0.4395824969891609,False
B3GAT1,Rest,0.4833400240867121,False
B3GAT2,Rest,0.7956643918105178,False
B4GALNT3,Rest,0.4211160176635889,False
B4GALNT3,Stim48hr,0.6269368295589988,False
B4GALT1,Rest,0.2211963067041349,False
B4GALT1,Stim48hr,0.290425109257052,False
B4GALT1,Stim8hr,0.347809809060277,False
B4GALT5,Rest,0.9895624247290244,False
B4GALT5,Stim48hr,0.4310687326181963,False
B4GALT7,Rest,0.972300281011642,False
BABAM2,Stim48hr,0.5669447755264203,False
BACH2,Stim8hr,0.9232497192062896,False
BAG1,Stim8hr,0.3354548858105578,False
BAHD1,Rest,0.9835407466880772,False
BAHD1,Stim48hr,0.99642431466031,False
BAHD1,Stim8hr,1.0,False
BAMBI,Rest,0.8338016860698515,False
BAMBI,Stim8hr,0.585174092100337,False
BAP1,Rest,0.7575270975511843,False
BAP1,Stim48hr,0.7731426301152166,False
BAP1,Stim8hr,0.9236241108199176,False
BARX1,Rest,0.9008430349257326,False
BATF,Rest,0.6908871938980329,False
BATF,Stim48hr,0.9487485101311084,False
BATF,Stim8hr,0.958816922500936,False
BAX,Stim48hr,0.4032578466428287,False
BAX,Stim8hr,0.8599775365031823,False
BAZ1A,Rest,0.9281413087113608,False
BAZ1A,Stim48hr,0.955502582439412,False
BBS10,Rest,0.1834604576475311,False
BBS10,Stim48hr,0.789829161700437,False
BBS10,Stim8hr,0.7888431299138899,False
BBX,Stim48hr,0.2284465633690902,False
BBX,Stim8hr,0.5376263571695994,False
BCAP29,Stim48hr,0.1926897099721891,False
BCAP29,Stim8hr,0.1486334706102583,False
BCAT2,Stim48hr,0.11362733412793,False
BCAT2,Stim8hr,0.1216772744290528,False
BCKDHA,Rest,0.0822962665596146,False
BCKDHA,Stim8hr,0.1272931486334706,False
BCKDHB,Stim8hr,0.865967802321228,False
BCL10,Stim48hr,0.4302741358760429,False
BCL10,Stim8hr,0.9621864470235868,False
BCL11B,Stim48hr,0.0989272943980929,False
BCL11B,Stim8hr,0.2414825907899663,False
BCL2L1,Stim48hr,0.7636074692093763,False
BCL2L13,Stim48hr,0.3241954707985697,False
BCL3,Rest,0.2063428342031312,False
BCL3,Stim48hr,0.6754072308303536,False
BCL3,Stim8hr,0.2983901160614002,False
BCL6,Rest,0.6940987555198715,False
BCL6,Stim48hr,0.1712355979340484,False
BCL6,Stim8hr,0.6858854361662299,False
BCL9,Stim8hr,0.3440658929239985,False
BCL9L,Rest,0.8057005218787635,False
BCLAF1,Rest,0.211561621838619,False
BCLAF1,Stim48hr,0.2344060389352403,False
BCLAF1,Stim8hr,0.2141520029951329,False
BCOR,Rest,0.8667201926936973,False
BCOR,Stim48hr,0.6654747715534366,False
BCOR,Stim8hr,0.8757019842755522,False
BCORL1,Stim48hr,0.8561779896702424,False
BCS1L,Rest,0.4528301886792453,False
BCS1L,Stim48hr,0.499404052443385,False
BCS1L,Stim8hr,0.4668663421939348,False
BDP1,Rest,0.7017262143717382,False
BDP1,Stim48hr,0.9539133889551052,False
BEGAIN,Rest,0.3303894018466479,False
BEGAIN,Stim48hr,0.4211362733412793,False
BEGAIN,Stim8hr,0.0269561961812055,False
BEND3,Stim48hr,0.3972983710766786,False
