gene,condition,guide_correlation,correlation_ceiling,n_signif_union
CDKN2AIP,Rest,0.71380578624552,0.9247486043597448,35
CFAP20,Rest,0.599954205994473,0.8041073505995672,74
CHD4,Rest,0.6634308695048764,0.8031582531395106,542
CHD7,Rest,-0.021865404130326,,1624
CHIC2,Rest,0.2605915678695492,0.890720218796254,33
CHMP1A,Rest,0.2342418552747843,0.3698522769451579,679
CHMP4A,Rest,-0.1163581622704518,0.8546836532987928,158
CHTF18,Rest,0.7711234245724962,,5
CHURC1,Rest,0.5252311289208517,0.8588585691393135,24
CISD1,Rest,0.5440584924663439,0.7373275521252489,48
CIT,Rest,0.848310373519356,0.9754219875801174,3
CKAP2,Rest,0.142621942557648,0.6310311043983637,174
CKAP2L,Rest,0.7842283975774911,0.9865790756334256,3
CKAP4,Rest,0.4281664810525069,,58
CKLF-CMTM1,Rest,0.4612427256102615,0.7590504305381018,43
CLCC1,Rest,0.6414553533359988,0.9290406374130126,14
CLDN7,Rest,-0.0624464025015818,0.7057498049030148,92
CLUH,Rest,-0.2509898679005494,0.9396625341330286,5
CMAS,Rest,0.4804093920696016,0.7210403486262159,30
CMTR1,Rest,0.62703836676333,0.4830377356195364,32
CNBP,Rest,0.9381966135710434,0.9540262015748948,15
CNOT4,Rest,0.7047496812895234,0.9678864110683564,6
CNOT10,Rest,0.3667595708631474,0.5696340030152423,43
COA3,Rest,0.9885899938356224,0.9624748579099424,4
COA5,Rest,0.7077182642410671,0.8485078154765981,22
COG5,Rest,0.0773956173208825,0.6874397667246898,309
COG6,Rest,0.0646031822866039,,549
COL1A1,Rest,-0.3709582339807085,,33
COL4A3BP,Rest,0.6774846786090298,0.9537183819058735,5
COMMD4,Rest,0.8099647975574,0.9448551534157944,10
COMMD8,Rest,0.9092750358231432,0.9333344777966036,8
COP1,Rest,0.0490311324370621,0.5923763525628492,60
COPRS,Rest,0.3611435634243781,0.6375177934908103,49
COQ3,Rest,0.5194591385840205,0.7112248026797612,146
COQ4,Rest,0.9883240451202016,0.9408221779392708,3
COX4I1,Rest,0.3448561097024967,0.787676101149008,199
COX5A,Rest,-0.0543322482050752,0.7125774337977573,43
COX6B1,Rest,0.1391012480907998,0.971614771597011,3
COX6C,Rest,0.1870483863677589,0.7886171969243532,59
COX11,Rest,-0.7570680563962524,,3
CREB1,Rest,0.8891591295002297,0.943895770294,22
CREBBP,Rest,0.7593274148480518,0.8997640012537963,197
CRTAP,Rest,0.1294700946376332,0.925117551800452,11
CRTC2,Rest,0.0827790433452722,,256
CRY1,Rest,0.2324123310224366,0.447583057711044,512
CRYZL1,Rest,-0.2369707911020627,0.3650286514705435,844
CSDE1,Rest,0.5461054408487127,0.7688157412245308,778
CSK,Rest,0.320515617563892,0.7354146134629931,269
CSNK2A1,Rest,0.6442695270974859,0.8512478759440014,15
CSNK2A2,Rest,0.5135961715764585,0.9006498053971447,71
CTBP1,Rest,0.9065884063176748,0.88394805479561,642
CTDSPL2,Rest,0.8936606789504365,0.9261019490038996,31
CTSF,Rest,0.774098546918654,0.7601921503512905,20
CTU1,Rest,0.5322802728015965,0.7832961145601053,207
CTU2,Rest,0.8149722197397123,0.9002053556499093,39
CUEDC2,Rest,0.4929345748526144,0.3764067649476268,38
CUL3,Rest,0.5716220682662839,0.7794687208000016,264
CUL4B,Rest,0.5376352549405738,0.6303286963057813,252
CWC27,Rest,0.7984730342977104,0.9535748132639962,13
CXXC1,Rest,0.4774130042285936,0.6757033087997971,327
