gene,condition,activation_coef_rank,polarization_coef_rank,is_known_polarization_reg
FBXO38,Rest,0.3799843627834245,0.4756320041699244,False
FBXO38,Stim48hr,0.5856020942408376,0.3047120418848167,False
FBXO38,Stim8hr,0.4717269485481406,0.2088639836984208,False
FBXO42,Rest,0.0651550690643732,0.0237164451394318,False
FBXO42,Stim48hr,0.5028795811518325,0.4473821989528795,False
FBXO42,Stim8hr,0.6569026999490576,0.0404992358634742,False
FBXO46,Rest,0.584831899921814,0.9205108157414646,False
FBXO46,Stim48hr,0.5965968586387435,0.8185863874345549,False
FBXO46,Stim8hr,0.1879775853285787,0.7137035150280183,False
FBXO8,Rest,0.8133958821996351,0.6116757883763356,False
FBXO8,Stim48hr,0.6952879581151833,0.4301047120418848,False
FBXO8,Stim8hr,0.3728986245542537,0.6650534895568008,False
FBXW2,Rest,0.3312483711232734,0.8480583789418816,False
FBXW2,Stim48hr,0.1910994764397905,0.8876963350785341,False
FBXW2,Stim8hr,0.6169128884360673,0.9620478858889456,False
FBXW7,Rest,0.0469116497263487,0.9874902267396404,False
FBXW7,Stim48hr,0.8520942408376964,0.8170157068062828,False
FBXW7,Stim8hr,0.782475802343352,0.7570045848191543,False
FCHO1,Rest,0.8694292415949961,0.7620536877769091,False
FCHO1,Stim48hr,0.7337696335078534,0.7740837696335079,False
FCHO1,Stim8hr,0.3902190524707081,0.5848191543555782,False
FCMR,Rest,0.343758144383633,0.5736252280427417,False
FCMR,Stim48hr,0.5078534031413613,0.5659685863874345,False
FCMR,Stim8hr,0.9192562404482936,0.499235863474274,False
FDFT1,Rest,0.5608548345061246,0.7453739900964295,False
FDFT1,Stim48hr,0.9445026178010472,0.0714659685863874,False
FDFT1,Stim8hr,0.0247070809984717,0.7715231788079471,False
FDX1,Rest,0.1660151159760229,0.2249152984102163,False
FDX1,Stim48hr,0.7607329842931937,0.3798429319371728,False
FDX1,Stim8hr,0.4251146204788589,0.1367804381049414,False
FDX2,Rest,0.3205629397967162,0.6630179827990618,False
FDX2,Stim8hr,0.357870606214977,0.8754457463066735,False
FEM1A,Rest,0.4529580401355225,0.490747980192859,False
FEM1A,Stim48hr,0.3400523560209424,0.0874345549738219,False
FEM1A,Stim8hr,0.7086092715231788,0.4047376464595008,False
FEN1,Rest,0.5209799322387282,0.5538180870471723,False
FEN1,Stim48hr,0.7840314136125655,0.1481675392670157,False
FEN1,Stim8hr,0.0769230769230769,0.1029037187977585,False
FERMT2,Rest,0.381287464164712,0.398749022673964,False
FERMT2,Stim48hr,0.6903141361256544,0.7709424083769634,False
FERMT2,Stim8hr,0.3265410086602139,0.3464085583290881,False
FERMT3,Rest,0.2285639822778212,0.688558769872296,False
FERMT3,Stim48hr,0.0730366492146596,0.9285340314136126,False
FERMT3,Stim8hr,0.272032603158431,0.6574121242995415,False
FGD3,Rest,0.7961949439666406,0.784206411258796,False
FGD3,Stim48hr,0.4793193717277487,0.6039267015706806,False
FGD3,Stim8hr,0.3545593479368313,0.7187977585328579,False
FGFR1OP,Rest,0.0049517852488923,0.1412561897315611,False
FGFR1OP,Stim48hr,0.0827225130890052,0.1458115183246073,False
FGFR1OP,Stim8hr,0.2238920020376974,0.2249108507386653,False
FGFR1OP2,Rest,0.4612978889757623,0.672660933020589,False
FGFR1OP2,Stim48hr,0.8410994764397905,0.8693717277486911,False
FGFR1OP2,Stim8hr,0.955934793683138,0.8578706062149771,False
FH,Rest,0.3901485535574667,0.27130570758405,False
FH,Stim8hr,0.976566479877738,0.2358634742740703,False
FHIT,Rest,0.2950221527234818,0.9283294240291896,False
FHIT,Stim48hr,0.7481675392670157,0.9547120418848168,False
FHIT,Stim8hr,0.8795211411105451,0.9811512990320936,False
FHL1,Rest,0.3815480844409695,0.8587438102684389,False
FHL1,Stim48hr,0.8298429319371727,0.3541884816753927,False
FHL1,Stim8hr,0.456698930208864,0.6459500764136525,False
FIBP,Rest,0.5548605681522022,0.927026322647902,False
FIBP,Stim48hr,0.9586387434554974,0.9094240837696336,False
FIBP,Stim8hr,0.3295975547631177,0.977840040753948,False
FIGNL1,Rest,0.8600469116497264,0.8509252019807141,False
FIGNL1,Stim48hr,0.6785340314136126,0.5947643979057592,False
FIGNL1,Stim8hr,0.0478858889454915,0.8632195618950586,False
FITM1,Rest,0.8102684388845453,0.2681782642689601,False
FITM1,Stim48hr,0.7544502617801047,0.5801047120418849,False
FITM1,Stim8hr,0.2287315333672949,0.2959755476311768,False
FITM2,Rest,0.4083919728954913,0.3502736512900704,False
FITM2,Stim48hr,0.9952879581151832,0.0586387434554973,False
FITM2,Stim8hr,0.9949057564951604,0.0636780438104941,False
FKBP2,Rest,0.6836069846234037,0.4568673442793849,False
FKBP2,Stim48hr,0.8623036649214659,0.6104712041884817,False
FKBP2,Stim8hr,0.303871625063678,0.8734080489047377,False
