,target_contrast_gene_name,logfc_pearson_r,logfc_pearson_pval,random_r1,random_r2,random_r3,comparison,condition,donor_correlation_mean,n_degs_MASH_K562,n_degs_MASH_Rest,n_degs_MASH_Stim48hr,n_degs_MASH_Stim8hr
61,DPH6,0.5901742756199245,0.0,0.024052439726056196,-0.006101347134042895,0.04491817823064354,K562 vs CD4+T (Rest),Rest,0.3759660562124123,18.0,107.0,155.0,112.0
62,TDP2,0.5888211132006808,0.0,0.02183862673699082,0.0023616296343469557,-0.016321542276453348,K562 vs CD4+T (Rest),Rest,,9.0,4.0,3.0,4.0
63,PHKB,0.5885347336487171,0.0,-0.027763322388478843,0.033117984601053134,0.014148114100352039,K562 vs CD4+T (Rest),Rest,,4.0,3.0,5.0,5.0
64,TSC2,0.5866434134444402,0.0,0.09248413817958166,-0.04199765626234982,0.04074161325918646,K562 vs CD4+T (Rest),Rest,0.6666782172457042,8.0,405.0,367.0,343.0
65,TMED10,0.5846446594786678,0.0,-0.01255782296978956,0.014258234006680132,0.035760303743413206,K562 vs CD4+T (Rest),Rest,0.4998489677003139,70.0,280.0,271.0,303.0
66,CAND1,0.5842856266929406,0.0,0.021986459647321363,0.02069311288845679,-0.04548046807798524,K562 vs CD4+T (Rest),Rest,0.6434923805036444,6.0,460.0,459.0,491.0
67,RBM12,0.5839095760664412,0.0,0.03277711582951213,0.009276444960190984,0.006022060243367417,K562 vs CD4+T (Rest),Rest,0.5933156092896398,13.0,196.0,216.0,214.0
68,HMGXB3,0.5819053577465824,0.0,0.001957923514717834,-0.010932773973862005,0.06377101451601477,K562 vs CD4+T (Rest),Rest,,44.0,38.0,44.0,44.0
69,UFM1,0.5813170791291763,0.0,-0.025513552470606583,0.009747289027266673,-0.05538825598269063,K562 vs CD4+T (Rest),Rest,0.6611672709579418,166.0,868.0,833.0,921.0
70,ARNT,0.5805343409112229,0.0,0.12790477536729905,-0.11517240868539688,-0.04746514802949987,K562 vs CD4+T (Rest),Rest,0.7906346406857209,6.0,863.0,1100.0,951.0
71,MFSD4B,0.5776553589165478,0.0,-0.0027105541172273246,-0.003361897039401541,-0.003302501951183684,K562 vs CD4+T (Rest),Rest,,7.0,51.0,56.0,53.0
72,C12orf4,0.5772924889780825,0.0,-0.01803052673329772,-0.010998468099829753,0.030448793013359066,K562 vs CD4+T (Rest),Rest,,6.0,10.0,14.0,12.0
73,C7orf26,0.5769487093921322,0.0,0.005450658065769454,-0.018171714165474324,0.01927200569023464,K562 vs CD4+T (Rest),Rest,,53.0,108.0,130.0,130.0
