,variable,gene_name,baseMean,log_fc,lfcSE,stat,p_value,adj_p_value,contrast,zscore
ENSG00000121486,ENSG00000121486,TRMT1L,1.4011255627861807,0.0215175771326327,0.0175350953799126,1.2271149181932757,0.219779401559012,0.3994227067696477,age_bin (Yaza2022 Discovery),1.2271149181932737
ENSG00000116668,ENSG00000116668,SWT1,0.6905968704735975,0.0279508262497125,0.0240339759036283,1.1629713852501993,0.2448411123794936,0.4285885811108462,age_bin (Yaza2022 Discovery),1.1629713852501986
ENSG00000116679,ENSG00000116679,IVNS1ABP,6.49729951665241,-0.0029891553024865,0.0092995265080072,-0.321430913704346,0.7478838592795232,0.8504536644754632,age_bin (Yaza2022 Discovery),-0.3214309137043417
ENSG00000116690,ENSG00000116690,PRG4,0.0864264078666397,0.1094573876052529,0.0565707173315768,1.9348771372951217,0.0530053743735215,1.0,age_bin (Yaza2022 Discovery),1.9348771372951228
ENSG00000047410,ENSG00000047410,TPR,31.197667744866877,0.0238317417906123,0.0057536503855986,4.142021185413523,3.442585347932196e-05,0.0005519241670717,age_bin (Yaza2022 Discovery),4.142021185413561
ENSG00000157181,ENSG00000157181,ODR4,2.2521854466093822,0.0284581572216513,0.0136688015017042,2.081978966341929,0.0373443910039085,0.1220590946197381,age_bin (Yaza2022 Discovery),2.0819789663419423
ENSG00000229739,ENSG00000229739,PDC-AS1,0.3986199955497719,0.0720555966313135,0.0312664565199426,2.304565488108778,0.0211909206974902,0.0822144018549048,age_bin (Yaza2022 Discovery),2.304565488108781
ENSG00000230426,ENSG00000230426,LINC01036,0.8318933906096705,0.0614642180998313,0.0228180986436751,2.6936608110802576,0.0070672044123998,0.0383007120464184,age_bin (Yaza2022 Discovery),2.693660811080262
ENSG00000150681,ENSG00000150681,RGS18,0.4474779976326435,0.0349876396704664,0.0441710858225702,0.7920937196565048,0.4283060317924991,0.6088084896727499,age_bin (Yaza2022 Discovery),0.7920937196565063
ENSG00000090104,ENSG00000090104,RGS1,15.467774137941989,0.0649777307920728,0.0152357032986564,4.264833038446149,2.0005174064375376e-05,0.0003518809922909,age_bin (Yaza2022 Discovery),4.26483303844615
ENSG00000231767,ENSG00000231767,RPS27AP5,0.4972339524663018,0.0672663356776552,0.0280830986364922,2.395260457129428,0.0166085626415665,0.069262460887757,age_bin (Yaza2022 Discovery),2.395260457129431
ENSG00000116741,ENSG00000116741,RGS2,9.57438620200475,-0.0017407606668502,0.0105616700653465,-0.1648186940209213,0.8690866895725241,0.925149734181461,age_bin (Yaza2022 Discovery),-0.16481869402091479
ENSG00000134371,ENSG00000134371,CDC73,7.263921936352143,0.0054101349411833,0.00840716816227,0.6435145386365732,0.5198902840876054,0.6818895029727208,age_bin (Yaza2022 Discovery),0.6435145386365771
ENSG00000162630,ENSG00000162630,B3GALT2,0.3487435949881556,-0.050130511343924,0.047628570654169,-1.052530249289268,0.2925563397065447,0.4794042890187347,age_bin (Yaza2022 Discovery),-1.0525302492892679
ENSG00000286285,ENSG00000286285,RP11-57K16.1,0.5526568985804985,-0.046583359521384,0.0335786468409203,-1.3872911479153365,0.1653530012739721,0.3325378818063754,age_bin (Yaza2022 Discovery),-1.3872911479153363
ENSG00000000971,ENSG00000000971,CFH,1.1528391441757688,0.02455115709209,0.0318801226927187,0.7701086137192755,0.441235466860597,0.6189289813002959,age_bin (Yaza2022 Discovery),0.7701086137192751
ENSG00000177888,ENSG00000177888,ZBTB41,0.7894816896456817,0.0345594502412205,0.0224348157857878,1.5404383334902791,0.1234535434688653,0.2760145511427475,age_bin (Yaza2022 Discovery),1.5404383334902851
ENSG00000213047,ENSG00000213047,DENND1B,3.8138029217795713,0.024683559513097,0.0117669797824987,2.097697112542788,0.0359319101208952,0.1189144961266916,age_bin (Yaza2022 Discovery),2.0976971125427974
ENSG00000151414,ENSG00000151414,NEK7,3.9709913381710775,0.0167610593171498,0.0123527651217,1.3568669971475291,0.1748234749092067,0.3455166174287455,age_bin (Yaza2022 Discovery),1.3568669971475282
ENSG00000081237,ENSG00000081237,PTPRC,111.5905579033858,0.0106529069042271,0.0039175336249016,2.719289206992998,0.0065422378986258,0.0359393099033264,age_bin (Yaza2022 Discovery),2.719289206993004
ENSG00000229989,ENSG00000229989,MIR181A1HG,0.6775899620521696,-0.0749430199904362,0.0261682442173156,-2.8638917983211885,0.0041847093124326,0.0260245325075625,age_bin (Yaza2022 Discovery),-2.8638917983211956
ENSG00000162702,ENSG00000162702,ZNF281,5.061820506514809,-0.0066741022893028,0.0101407547034173,-0.6581465072864601,0.510443993924917,0.6746036766262512,age_bin (Yaza2022 Discovery),-0.6581465072864563
ENSG00000118200,ENSG00000118200,CAMSAP2,0.3252512772266066,0.0243187354656939,0.0321451779935742,0.7565282566036874,0.4493325374652596,0.6256444642458764,age_bin (Yaza2022 Discovery),0.7565282566036872
ENSG00000116852,ENSG00000116852,KIF21B,1.910193745773097,-0.00747805899411,0.0167249857484805,-0.4471190054550197,0.6547891372950145,0.7836862151667221,age_bin (Yaza2022 Discovery),-0.4471190054550209
ENSG00000174307,ENSG00000174307,PHLDA3,0.2779876177333962,0.2777179276763796,0.0436596242473428,6.360978420314314,2.0047261147601054e-10,1.2546615513783802e-08,age_bin (Yaza2022 Discovery),6.360978420314325
ENSG00000134369,ENSG00000134369,NAV1,0.2608602975664446,0.069649212161401,0.0375643792769537,1.8541291910587172,0.0637206793616019,0.1768297596683457,age_bin (Yaza2022 Discovery),1.8541291910587174
ENSG00000231871,ENSG00000231871,IPO9-AS1,0.2758608905707073,0.0436825512448207,0.0379526608423084,1.1509746688465334,0.2497426569032728,0.4335475052754781,age_bin (Yaza2022 Discovery),1.1509746688465332
ENSG00000198700,ENSG00000198700,IPO9,4.285848631119438,-0.0041849117632505,0.0102547066977016,-0.4080966805407019,0.6832026969658462,0.8044823625202807,age_bin (Yaza2022 Discovery),-0.4080966805406993
ENSG00000234678,ENSG00000234678,ELF3-AS1,0.6918069868076837,0.0780031783770801,0.0277385469343226,2.8120859597213395,0.0049221347297734,0.0292660917184069,age_bin (Yaza2022 Discovery),2.8120859597213435
ENSG00000163435,ENSG00000163435,ELF3,0.0747926758516631,0.0592602128671739,0.0662563694593597,0.894407788273442,0.3711037469284662,1.0,age_bin (Yaza2022 Discovery),0.8944077882734415
ENSG00000143862,ENSG00000143862,ARL8A,2.5789701054572105,0.0225229611176169,0.0147921689469609,1.5226273576495624,0.1278519612976391,0.2822631881379025,age_bin (Yaza2022 Discovery),1.5226273576495566
ENSG00000143851,ENSG00000143851,PTPN7,13.866103132865131,0.020612530471005,0.0074593095255873,2.763329554873516,0.0057214965991855,0.0327957427181266,age_bin (Yaza2022 Discovery),2.763329554873525
ENSG00000133067,ENSG00000133067,LGR6,0.0890237260008943,0.0801426436500763,0.0760800516407276,1.053398912352655,0.2921582024675296,1.0,age_bin (Yaza2022 Discovery),1.0533989123526553
ENSG00000077157,ENSG00000077157,PPP1R12B,1.6838351995860232,0.0125959047226528,0.0164597482760883,0.765255003380058,0.4441197125103066,0.6211500498261182,age_bin (Yaza2022 Discovery),0.7652550033800546
ENSG00000117139,ENSG00000117139,KDM5B,8.803635651845056,-0.0178726045114623,0.0082803676288187,-2.158431281391308,0.0308943158277071,0.1071535609311568,age_bin (Yaza2022 Discovery),-2.1584312813913136
ENSG00000228288,ENSG00000228288,PCAT6,0.1516943942591979,0.017296861203108,0.0508713090203556,0.3400121116637068,0.7338474069637695,1.0,age_bin (Yaza2022 Discovery),0.34001211166370515
ENSG00000231507,ENSG00000231507,LINC01353,0.4843005160620301,0.0470679938271537,0.027901981733963,1.6869050476748488,0.0916216113421787,0.225483471574126,age_bin (Yaza2022 Discovery),1.686905047674852
ENSG00000159388,ENSG00000159388,BTG2,41.717305070906015,0.0094936424250198,0.0069743227848174,1.3612278522133834,0.1734416949115536,0.3443159963129032,age_bin (Yaza2022 Discovery),1.361227852213376
ENSG00000058668,ENSG00000058668,ATP2B4,4.213601700853351,0.0069453364678405,0.0125545767566911,0.553211518193071,0.5801185807431843,0.7292758134113824,age_bin (Yaza2022 Discovery),0.553211518193069
